eval_id	stage	status	mean_edge	incumbent_mean_edge	delta_vs_incumbent	strategy_name	label	description	snapshot_path
screen_0001	screen	seed	434.301202			LatentStateQuoteEngine	live-baseline	Fresh retained screen baseline from the current quiet-latent-recentering live source.	artifacts/hill_climb/apr08-screen430-1654/snapshots/8af1aa3d1ecb65a442be50cf347044f2be9212eb9bde2e28a757846580bb1de4.sol
screen_0002	screen	discard	434.210322	434.301202	-0.090880	LatentStateQuoteEngine	quiet-divergence-relax-longgap-v1	Add quiet-gated divergence-memory relief after latent recentering, scaled by long-gap calmness.	artifacts/hill_climb/apr08-screen430-1654/snapshots/b0e730372c9524bfad09da4ff402b175114952c2f3df3894230920c8d9aea385.sol
screen_0003	screen	discard	434.284222	434.301202	-0.016980	LatentStateQuoteEngine	quiet-divergence-relax-longgap-v2	Restrict quiet divergence-memory relief to the existing low-hazard, low-flow calm regime and strengthen it inside that smaller window.	artifacts/hill_climb/apr08-screen430-1654/snapshots/0120d719c9844e6f884fafacdbdbc0d41494cb65211bf8b8fc6fb01fa08a50a2.sol
screen_0004	screen	discard	434.276008	434.301202	-0.025194	LatentStateQuoteEngine	quiet-divergence-relax-longgap-v3	Slightly widen the calm thresholds for post-recenter divergence relief and trim the decay strength.	artifacts/hill_climb/apr08-screen430-1654/snapshots/bf2891f92a1fa00e242c4e65023f854d972601732b0931742d437d5c86563650.sol
screen_0005	screen	discard	434.268314	434.301202	-0.032888	LatentStateQuoteEngine	threshold-calm-step-v1	Apply a tiny direct fee step-down only after long, already-quiet states.	artifacts/hill_climb/apr08-screen430-1654/snapshots/31254fc72f982582d00ba52d20d67d35a81962333ecaab11cdcaf3d1f26c0590.sol
screen_0006	screen	keep	457.851560	434.301202	23.550358	LatentStateQuoteEngine	threshold-event-surcharge-v1	Replace the linear observation carry with a thresholded event surcharge: lower charge in normal conditions, steeper only above an 8 bps event signal.	artifacts/hill_climb/apr08-screen430-1654/snapshots/c158f16ec38db0043ae8ce215bec6075a545a6fd15da6a57353b528684619cd6.sol
screen_0007	screen	discard	457.842624	457.851560	-0.008935	LatentStateQuoteEngine	threshold-event-surcharge-v2	Lower the normal-condition event carry and push the burst threshold slightly higher while keeping a steep post-threshold slope.	artifacts/hill_climb/apr08-screen430-1654/snapshots/370c76be24cae13ce97d887c3ff2b43be59d58566d171e6553c6fd8778aa2291.sol
screen_0008	screen	discard	457.837299	457.851560	-0.014260	LatentStateQuoteEngine	threshold-event-surcharge-v3	Move halfway back toward the winning event-surcharge setting: slightly higher base carry than v2, same 8 bps threshold as v1, slightly softer post-threshold slope.	artifacts/hill_climb/apr08-screen430-1654/snapshots/8611b058ef098cfecf756b09100aaca6a58dfe10bc102f0ab4748f2a88be1955.sol
screen_0009	screen	discard	457.852256	457.851560	0.000696	LatentStateQuoteEngine	event-threshold-plus-quiet-v1	Keep the winning event-threshold incumbent and add a very narrow extra calm rebate only in long-gap, low-hazard, low-flow states.	artifacts/hill_climb/apr08-screen430-1654/snapshots/9b7eba8d74d0a2c4a00f40abb6bf955d862e7864de18df8ebc776f64faec8910.sol
screen_0010	screen	discard	454.520743	457.851560	-3.330816	LatentStateQuoteEngine	hazard-weighted-event-v1	Weight hazard more than raw observation size inside the thresholded event signal and steepen the post-threshold slope.	artifacts/hill_climb/apr08-screen430-1654/snapshots/3b4a2fb2822f5858dd7beb1d73a027eb327e10cbf81798f39522923afe0aef91.sol
screen_0011	screen	discard	458.648102	457.851560	0.796542	LatentStateQuoteEngine	threshold-event-surcharge-v4	Keep the winning event-threshold incumbent and raise only the post-threshold burst slope from 1500 to 1700 bps.	artifacts/hill_climb/apr08-screen430-1654/snapshots/d5b36a5f0b7742d32052f05face4a03badf85f08d71d6dae927aeeed7fc10303.sol
screen_0012	screen	discard	457.685721	457.851560	-0.165839	LatentStateQuoteEngine	fixed-ultraquiet-rebate-v1	Keep the threshold-event incumbent but replace the broad calm rebate with a fixed 4-6 bps ultra-quiet rebate after long gaps.	artifacts/hill_climb/apr08-screen430-1654/snapshots/26e489440ef61aec90c6da10380b29a5ac3fd3489740f36a34dd220d3fa9705a.sol
screen_0013	screen	discard	460.594212	457.851560	2.742652	LatentStateQuoteEngine	directional-burst-shift-v1	Move part of the above-threshold burst charge from shared spread into a surcharge on the toxic side only.	artifacts/hill_climb/apr08-screen430-1654/snapshots/f454b6db68d63385cc99d74aa2284408ea94b4543bddd9c77907a3391ef2e812.sol
screen_0014	screen	discard	461.223655	457.851560	3.372096	LatentStateQuoteEngine	directional-burst-shift-v2	Push more of the above-threshold burst slope onto the toxic side while keeping the total burst slope unchanged.	artifacts/hill_climb/apr08-screen430-1654/snapshots/bbba7f25e1fb9a8876c859ce9f6be69fae9447bdcbfbd31cc4a9861937a95000.sol
