eval_id	stage	status	mean_edge	incumbent_mean_edge	delta_vs_incumbent	strategy_name	label	description	snapshot_path
screen_0001	screen	seed	428.702653			LatentStateQuoteEngine	baseline-live	Fresh seed of the current live coherent quote engine with the passive recapture micro-lift and calm-divergence release.	artifacts/hill_climb/apr07-screen430-1749/snapshots/ba694e55b5ff951cc7395d5f29293fa86ce15f3f0fbe1bfae7e4cf315168e237.sol
screen_0002	screen	discard	428.931211	428.702653	0.228558	LatentStateQuoteEngine	calm-quiet-gate-v2	Add a narrow nonlinear calm gate using volatility, hazard, flow pressure, and spot-jump stress to release passive-side edge and a tiny calm shared rebate only in quiet conditions.	artifacts/hill_climb/apr07-screen430-1749/snapshots/ef590c742f3d8f3c44fdc78261335e45375139772c4b2ef9dbb9439b2662db33.sol
screen_0003	screen	discard	428.979620	428.702653	0.276967	LatentStateQuoteEngine	calm-quiet-gate-v3	Refine the calm overlay by gating the divergence bonus with the same continuous quiet signal instead of a hard calm threshold.	artifacts/hill_climb/apr07-screen430-1749/snapshots/3ee4a76dfa2bdd661e6da8999370dc3dcfd51e8135f186e2e8c337f129d3ab77.sol
screen_0004	screen	discard	428.989842	428.702653	0.287189	LatentStateQuoteEngine	calm-quiet-gate-v4	Increase the calm shared rebate slightly while keeping the continuous quiet-gated passive release overlay unchanged.	artifacts/hill_climb/apr07-screen430-1749/snapshots/f3da249ceab119e34ac94b2b6a8fd526af6ac50e2e44cadab5606cdd7c4b3e10.sol
screen_0005	screen	discard	429.039348	428.702653	0.336695	LatentStateQuoteEngine	quiet-risk-discount-v1	Add a very small quiet-gated discount to the common hazard component inside side-risk pricing after longer gaps, on top of the current calm overlay.	artifacts/hill_climb/apr07-screen430-1749/snapshots/79810568ee2a74f0c1170b1597bcc7c295edf2592c7da719250fc54de5eee015.sol
screen_0006	screen	discard	429.037823	428.702653	0.335170	LatentStateQuoteEngine	quiet-risk-plus-shared-carry-v1	Stack the narrow quiet-state hazard discount with a tiny quiet-gated compression on shared observation carry after longer gaps.	artifacts/hill_climb/apr07-screen430-1749/snapshots/6366122d836098794a494cdb8e0422394297f1f97335c511ebecceccd26ecd60.sol
screen_0007	screen	discard	434.160810	428.702653	5.458157	LatentStateQuoteEngine	quiet-latent-recenter-v2	Add quiet-gated latent-spot recentering after longer quiet gaps, with no extra bleed on divergence, flow pressure, or hazard memories.	artifacts/hill_climb/apr07-screen430-1749/snapshots/82f92f33cf7d527e70c220fbb630fb9713af3ea38222f7ab367ce826056c4a4b.sol
screen_0008	screen	discard	434.143738	428.702653	5.441085	LatentStateQuoteEngine	quiet-latent-recenter-plus-risk-v1	Layer a narrow quiet-gated hazard discount onto the quiet latent recentering family after longer gaps.	artifacts/hill_climb/apr07-screen430-1749/snapshots/865361c9fc2db373e9f1e1196fdb9014b042eafc5e734b763244d22a75dece56.sol
screen_0009	screen	discard	434.211535	428.702653	5.508883	LatentStateQuoteEngine	quiet-latent-recenter-v4	Reduce the quiet-gated latent recentering strength slightly on both medium and long gaps while keeping the idea state-only.	artifacts/hill_climb/apr07-screen430-1749/snapshots/c6507ff2e6dc123ad5ca112164e843ec25db2e0f44f1c5f161a3fb5266c65ef0.sol
screen_0010	screen	discard	434.301202	428.702653	5.598549	LatentStateQuoteEngine	quiet-latent-recenter-v5	Reduce the quiet-gated latent recentering strength another small step while keeping the idea state-only.	artifacts/hill_climb/apr07-screen430-1749/snapshots/8af1aa3d1ecb65a442be50cf347044f2be9212eb9bde2e28a757846580bb1de4.sol
screen_0011	screen	discard	434.299723	428.702653	5.597070	LatentStateQuoteEngine	quiet-latent-recenter-v6	Reduce the quiet-gated latent recentering strength one more small step while keeping the idea state-only.	artifacts/hill_climb/apr07-screen430-1749/snapshots/141ca2a479eebdfa43e63f0d11ddb4b8b9192305ce93597f270d4c52e5156390.sol
